++++ EVENT no. 1 ++++
 i = 52	mother = 6	pdg = 50000050	name = XXX	daughter = -1	eta = 0.23562	p_x = 0.00000	p_y = 0.00000	p_z = 0.00000	m = 0.00000
 i = 53	mother = 6	pdg = 50000050	name = XXX	daughter = -1	eta = 0.19194	p_x = 0.00000	p_y = 0.00000	p_z = 0.00000	m = 0.00000
 i = 54	mother = 51	pdg = 50000051	name = XXX	daughter = -1	eta = -0.03550	p_x = -0.00000	p_y = 0.00000	p_z = -0.00000	m = 0.00000
 i = 55	mother = 31	pdg = 50000051	name = XXX	daughter = -1	eta = -0.49838	p_x = -0.00000	p_y = 0.00000	p_z = -0.00000	m = 0.00000
 i = 56	mother = 29	pdg = 50000050	name = XXX	daughter = -1	eta = 0.92100	p_x = 0.00000	p_y = 0.00000	p_z = 0.00000	m = 0.00000
 i = 57	mother = 4	pdg = 11	name = e-	daughter = -1	eta = 2.06189	p_x = -0.00002	p_y = -0.00001	p_z = 0.00010	m = 0.00051
 i = 58	mother = 0	pdg = 11	name = e-	daughter = -1	eta = -0.35815	p_x = -0.00003	p_y = -0.00017	p_z = -0.00006	m = 0.00051
 i = 59	mother = 0	pdg = 22	name = gamma	daughter = 63	eta = 1.29823	p_x = -0.00714	p_y = -0.11606	p_z = 0.19708	m = 0.00000
 i = 60	mother = 0	pdg = 22	name = gamma	daughter = 61	eta = 1.29749	p_x = -0.05382	p_y = -0.84125	p_z = 1.42752	m = 0.00000
 i = 61	mother = 60	pdg = 11	name = e-	daughter = -1	eta = 1.29845	p_x = -0.00774	p_y = -0.12203	p_z = 0.20729	m = 0.00051
 i = 62	mother = 60	pdg = -11	name = e+	daughter = -1	eta = 1.29732	p_x = -0.04608	p_y = -0.71922	p_z = 1.22022	m = 0.00051
 i = 63	mother = 59	pdg = -11	name = e+	daughter = -1	eta = 1.29176	p_x = -0.00337	p_y = -0.05225	p_z = 0.08807	m = 0.00051
 i = 64	mother = 59	pdg = 11	name = e-	daughter = -1	eta = 1.30350	p_x = -0.00378	p_y = -0.06381	p_z = 0.10901	m = 0.00051
++++ EVENT no. 2 ++++
 i = 0	mother = -1	pdg = -11	name = e+	daughter = -1	eta = -1.64819	p_x = -0.00624	p_y = 0.74261	p_z = -1.85851	m = 0.00051
