++++ EVENT no. 1 ++++
 i = 6	mother = 0	pdg = 11	name = e-	daughter = -1	eta = 0.49729	p_x = -0.00016	p_y = -0.00004	p_z = 0.00008	m = 0.00051
 i = 7	mother = 0	pdg = 11	name = e-	daughter = -1	eta = -0.63445	p_x = 0.00002	p_y = -0.00017	p_z = -0.00011	m = 0.00051
 i = 8	mother = 0	pdg = 11	name = e-	daughter = -1	eta = -0.30390	p_x = -0.00008	p_y = -0.00010	p_z = -0.00004	m = 0.00051
 i = 9	mother = 0	pdg = -11	name = e+	daughter = -1	eta = 0.83459	p_x = 0.00517	p_y = -0.02219	p_z = 0.02130	m = 0.00051
 i = 10	mother = 0	pdg = 11	name = e-	daughter = -1	eta = 0.85755	p_x = 0.00380	p_y = -0.03512	p_z = 0.03415	m = 0.00051
 i = 11	mother = 0	pdg = -11	name = e+	daughter = -1	eta = -1.02343	p_x = -0.01262	p_y = 0.00399	p_z = -0.01604	m = 0.00051
++++ EVENT no. 7 ++++
 i = 0	mother = -1	pdg = -13	name = mu+	daughter = 4	eta = -0.59568	p_x = -0.05453	p_y = 1.18788	p_z = -0.75098	m = 0.10566
 i = 1	mother = -1	pdg = 13	name = mu-	daughter = 2	eta = 0.70748	p_x = 0.04815	p_y = -1.19810	p_z = 0.92088	m = 0.10566
 i = 2	mother = 1	pdg = 11	name = e-	daughter = -1	eta = 0.83049	p_x = -0.00021	p_y = -0.00005	p_z = 0.00020	m = 0.00051
 i = 3	mother = 1	pdg = 11	name = e-	daughter = -1	eta = 0.28263	p_x = 0.00598	p_y = 0.01084	p_z = 0.00354	m = 0.00051
 i = 4	mother = 0	pdg = 11	name = e-	daughter = 8	eta = -0.53934	p_x = 0.00139	p_y = 0.00104	p_z = -0.00098	m = 0.00051
 i = 5	mother = 0	pdg = 11	name = e-	daughter = -1	eta = -0.70795	p_x = -0.00013	p_y = -0.00000	p_z = -0.00010	m = 0.00051
 i = 6	mother = 0	pdg = 11	name = e-	daughter = -1	eta = 1.01278	p_x = 0.00003	p_y = 0.00009	p_z = 0.00011	m = 0.00051
 i = 7	mother = 0	pdg = -11	name = e+	daughter = -1	eta = -0.38155	p_x = -0.00338	p_y = -0.04512	p_z = -0.01768	m = 0.00051
 i = 8	mother = 4	pdg = 11	name = e-	daughter = -1	eta = 0.00639	p_x = 0.00027	p_y = -0.00008	p_z = 0.00000	m = 0.00051
 i = 9	mother = 4	pdg = 11	name = e-	daughter = -1	eta = 0.69402	p_x = -0.00014	p_y = 0.00007	p_z = 0.00012	m = 0.00051
 i = 10	mother = 4	pdg = 11	name = e-	daughter = -1	eta = -1.47112	p_x = 0.00005	p_y = -0.00010	p_z = -0.00022	m = 0.00051
 i = 11	mother = 4	pdg = 11	name = e-	daughter = -1	eta = 0.18189	p_x = 0.00012	p_y = 0.00005	p_z = 0.00002	m = 0.00051
 i = 12	mother = 4	pdg = 11	name = e-	daughter = -1	eta = -0.26222	p_x = 0.00009	p_y = -0.00008	p_z = -0.00003	m = 0.00051
 i = 13	mother = 4	pdg = 11	name = e-	daughter = -1	eta = 0.09692	p_x = -0.00007	p_y = 0.00008	p_z = 0.00001	m = 0.00051
 i = 14	mother = 4	pdg = 11	name = e-	daughter = -1	eta = 2.08377	p_x = 0.00005	p_y = -0.00002	p_z = 0.00020	m = 0.00051
 i = 15	mother = 4	pdg = 11	name = e-	daughter = -1	eta = 0.94199	p_x = -0.00001	p_y = -0.00031	p_z = 0.00033	m = 0.00051
 i = 16	mother = 4	pdg = 11	name = e-	daughter = -1	eta = -2.32322	p_x = -0.00002	p_y = -0.00003	p_z = -0.00018	m = 0.00051
